Month,Furniture,Technology,Office Supplies,West Region,East Region
2019-01-31,9716.003,20370.967,25796.031,11175.512,25088.459
2019-02-28,6214.6865,24370.316,25957.26,15125.339,25353.447
2019-03-31,16723.81,30328.62,29761.83,21355.615,27580.826
